,mae,mse,rse,ade,fde
grnn,0.6232704520225525,1.3141039609909058,1.1463441848754883,1.2771635055541992,2.5909833908081055
rgnn,0.5381832718849182,1.1685398817062378,1.0809906721115112,1.1069951057434082,2.322295904159546
mlp,0.7610266804695129,2.5817320346832275,1.6067771911621094,1.655703067779541,2.9675121307373047
lstm,0.6097719073295593,1.5734294652938843,1.2543644905090332,1.2793232202529907,2.6410343647003174
rnn2gnn,0.5728962421417236,1.3857502937316895,1.1771793365478516,1.192628264427185,2.50882625579834
gnn2rnn,0.8534055352210999,1.9644379615783691,1.4015843868255615,1.7585749626159668,2.648681163787842
ConstantAvg,3.3207476139068604,43.81772232055664,6.619495391845703,8.398324966430664,10.16805648803711
RollingAvg,1.4846606254577637,8.877795219421387,2.979562997817993,3.4928817749023438,5.4111456871032715
